Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
Kevin Gausman,TOR,10.55,1.64,6.44,0.45,27.80%,4.30%,23.50%,0.276,1.29,0.378,72.70%,74,48,67,3,1.98,1.02,2.73,3,14107
Carlos Rodon,SFG,11.48,3.03,3.79,0.54,31.40%,8.30%,23.10%,0.211,1.12,0.304,73.60%,80,64,79,3.18,2.41,0.77,3.14,3.12,16137
Max Fried,ATL,8.4,1.58,5.32,0.43,23.30%,4.40%,18.90%,0.238,1.09,0.304,76.60%,65,63,78,2.73,2.47,0.26,3.1,3.33,13743
Shane McClanahan,TBR,11.78,1.53,7.7,1.07,35.40%,4.60%,30.80%,0.171,0.77,0.232,88.40%,48,67,51,1.76,2.58,-0.83,2.07,2.24,21483
Dylan Cease,CHW,12.52,3.98,3.14,0.65,33.40%,10.60%,22.80%,0.202,1.19,0.302,80.60%,52,64,74,2.03,2.66,-0.63,3,3.18,18525
Zack Wheeler,PHI,9.62,1.86,5.18,0.68,26.70%,5.20%,21.50%,0.224,1.04,0.293,75.80%,67,68,78,2.78,2.77,0.01,3.11,3.17,10310
Sandy Alcantara,MIA,8.29,2.24,3.69,0.44,24.30%,6.60%,17.70%,0.186,0.9,0.238,79.20%,46,72,82,1.81,2.78,-0.97,3.27,3.37,18684
Tarik Skubal,DET,9.37,2.28,4.11,0.76,25.50%,6.20%,19.30%,0.241,1.17,0.31,66.10%,99,72,80,3.88,2.92,0.96,3.22,3.39,22267
Aaron Nola,PHI,9.77,1.15,8.47,1.02,28.00%,3.30%,24.70%,0.216,0.93,0.274,73.10%,80,72,75,3.32,2.94,0.39,2.97,2.9,16149
Corbin Burnes,MIL,11.3,2.35,4.81,0.99,32.10%,6.70%,25.40%,0.185,0.93,0.25,85.00%,53,75,73,2.2,2.99,-0.79,2.89,2.84,19361
Shane Bieber,CLE,8.87,2.1,4.23,0.81,24.30%,5.80%,18.60%,0.241,1.15,0.303,71.60%,91,77,82,3.55,3.07,0.48,3.29,3.49,19427
Justin Verlander,HOU,9.05,1.62,5.57,0.93,26.10%,4.70%,21.40%,0.191,0.88,0.234,83.00%,49,77,83,1.86,3.09,-1.24,3.34,3.29,8700
Martin Perez,TEX,7.7,2.52,3.06,0.53,20.80%,6.80%,14.00%,0.236,1.18,0.29,78.10%,67,78,93,2.59,3.12,-0.53,3.72,3.87,6902
Logan Webb,SFG,7.5,2.33,3.22,0.58,20.70%,6.40%,14.30%,0.232,1.12,0.282,76.60%,70,83,84,2.77,3.17,-0.4,3.37,3.6,17995
Merrill Kelly,ARI,7.3,2.74,2.67,0.53,20.10%,7.50%,12.60%,0.227,1.15,0.276,74.70%,73,82,101,3.04,3.2,-0.16,4.06,4.23,11156
Framber Valdez,HOU,8.14,3.25,2.5,0.44,22.10%,8.80%,13.30%,0.213,1.14,0.269,76.30%,72,80,78,2.74,3.21,-0.47,3.16,3.33,17295
Joe Musgrove,SDP,8.73,2.06,4.24,0.82,24.40%,5.70%,18.60%,0.205,0.99,0.253,78.00%,67,82,84,2.63,3.22,-0.59,3.34,3.46,12970
Gerrit Cole,NYY,11.54,2.41,4.78,1.28,32.30%,6.80%,25.50%,0.204,1.02,0.269,81.70%,80,79,69,3.09,3.24,-0.15,2.78,2.83,13125
